address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing
"Apartamento en arriendo en centro internacional, bogotá",ARRIENDO,42.0,False,0.0,0.0,0,1.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en centro internacional, bogotá",ARRIENDO,42.0,False,0.0,0.0,0,1.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en alameda, bogotá",ARRIENDO,40.0,False,0.0,0.0,0,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,3138099598,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en alameda, bogotá",ARRIENDO,40.0,False,0.0,0.0,0,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,0,,,3138099598,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en chapinero, bogotá",ARRIENDO,30.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 30.0, ""price_per_m2"": 0.0, ""total_area"": 30.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en chapinero, bogotá",ARRIENDO,30.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 30.0, ""price_per_m2"": 0.0, ""total_area"": 30.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en colina campestre, bogotá",ARRIENDO,39.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en colina campestre, bogotá",ARRIENDO,39.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en niza norte, bogotá",ARRIENDO,39.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en niza norte, bogotá",ARRIENDO,39.0,False,0.0,0.0,2,1.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en loma de la doctora, sabaneta",ARRIENDO,42.0,True,0.0,0.0,0,2.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en loma de la doctora, sabaneta",ARRIENDO,42.0,True,0.0,0.0,0,2.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en alameda, bogotá",ARRIENDO,40.0,False,0.0,0.0,2,1.0,0,True,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en alameda, bogotá",ARRIENDO,40.0,False,0.0,0.0,2,1.0,0,True,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 40.0, ""price_per_m2"": 0.0, ""total_area"": 40.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en lagos de cordoba, bogotá",ARRIENDO,39.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en lagos de cordoba, bogotá",ARRIENDO,39.0,False,0.0,0.0,2,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en usaquen, bogotá",ARRIENDO,77.0,True,0.0,0.0,2,1.0,0,True,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 77.0, ""price_per_m2"": 0.0, ""total_area"": 77.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en usaquen, bogotá",ARRIENDO,77.0,True,0.0,0.0,2,1.0,0,True,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 77.0, ""price_per_m2"": 0.0, ""total_area"": 77.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en barrio cristóbal, medellín",ARRIENDO,42.0,False,0.0,0.0,0,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,4,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en barrio cristóbal, medellín",ARRIENDO,42.0,False,0.0,0.0,0,1.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,4,,,,"{""area"": 42.0, ""price_per_m2"": 0.0, ""total_area"": 42.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en chapinero, bogotá",ARRIENDO,32.0,True,0.0,0.0,0,1.0,0,True,True,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 32.0, ""price_per_m2"": 0.0, ""total_area"": 32.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en chapinero, bogotá",ARRIENDO,32.0,True,0.0,0.0,0,1.0,0,True,True,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 32.0, ""price_per_m2"": 0.0, ""total_area"": 32.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en chapinero, bogotá",ARRIENDO,36.0,True,0.0,0.0,0,2.0,0,False,False,True,0,0,0.0,0,I,True,3,3,3,0,,,313 296 9136,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en chapinero, bogotá",ARRIENDO,36.0,True,0.0,0.0,0,2.0,0,False,False,True,0,0,0.0,0,I,True,3,3,3,0,,,313 296 9136,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en colina campestre, bogotá",ARRIENDO,39.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en colina campestre, bogotá",ARRIENDO,39.0,True,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 39.0, ""price_per_m2"": 0.0, ""total_area"": 39.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en gran america, bogotá",ARRIENDO,36.0,False,0.0,0.0,0,1.0,0,True,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en gran america, bogotá",ARRIENDO,36.0,False,0.0,0.0,0,1.0,0,True,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 36.0, ""price_per_m2"": 0.0, ""total_area"": 36.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en casa blanca suba, bogotá",VENTA,7.0,True,0.0,0.0,0,2.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 7.0, ""price_per_m2"": 0.0, ""total_area"": 7.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en casa blanca suba, bogotá",VENTA,7.0,True,0.0,0.0,0,2.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 7.0, ""price_per_m2"": 0.0, ""total_area"": 7.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,125.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,5,,,,"{""area"": 125.0, ""price_per_m2"": 5.2, ""total_area"": 125.0, ""total_price_per_m2"": 5.2, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,125.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,5,,,,"{""area"": 125.0, ""price_per_m2"": 5.2, ""total_area"": 125.0, ""total_price_per_m2"": 5.2, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la calleja, bogotá",VENTA,110.0,True,0.0,0.0,3,4.0,1,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 110.0, ""price_per_m2"": 0.0, ""total_area"": 110.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en la calleja, bogotá",VENTA,110.0,True,0.0,0.0,3,4.0,1,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 110.0, ""price_per_m2"": 0.0, ""total_area"": 110.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en lisboa, bogotá",VENTA,123.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 123.0, ""price_per_m2"": 0.0, ""total_area"": 123.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en lisboa, bogotá",VENTA,123.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 123.0, ""price_per_m2"": 0.0, ""total_area"": 123.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente largo, bogotá",VENTA,105.0,True,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 105.0, ""price_per_m2"": 0.0, ""total_area"": 105.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente largo, bogotá",VENTA,105.0,True,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 105.0, ""price_per_m2"": 0.0, ""total_area"": 105.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
