title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images
"Apartamento en venta en casa blanca suba, bogotá",,,7 m²,,2.0,,,Apartamento,VENTA,Balcón; Gimnasio; Vigilancia; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-casa-blanca-suba-bogota/192877032,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c96d7268dd9_infocdn__6innp33otijd6i7rpybrqczune2shx5cctfvrun5jpg.jpg
"Apartamento en venta en casa blanca suba, bogotá",,,7 m²,,2.0,,,Apartamento,VENTA,Balcón; Gimnasio; Vigilancia; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-casa-blanca-suba-bogota/192877032,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c96d7268dd9_infocdn__6innp33otijd6i7rpybrqczune2shx5cctfvrun5jpg.jpg
"Apartamento en venta en colina campestre, bogotá",$650,,125 m²,,3.0,,5,Apartamento,VENTA,Gimnasio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-colina-campestre-bogota/192875969,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c8bb6f9339a_infocdn__cjb5hsw5cpsijwgt9hlr0hcnuuharubijexesdezjpg.jpg
"Apartamento en venta en colina campestre, bogotá",$650,,125 m²,,3.0,,5,Apartamento,VENTA,Gimnasio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-colina-campestre-bogota/192875969,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c8bb6f9339a_infocdn__cjb5hsw5cpsijwgt9hlr0hcnuuharubijexesdezjpg.jpg
"Apartamento en venta en la calleja, bogotá",,,110 m²,3,4.0,1,,Apartamento,VENTA,Ascensor; Vigilancia; Parqueadero; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192888562,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc2e0fb6816_infocdn__gr458141120250624121825jpeg.jpeg
"Apartamento en venta en la calleja, bogotá",,,110 m²,3,4.0,1,,Apartamento,VENTA,Ascensor; Vigilancia; Parqueadero; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192888562,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc2e0fb6816_infocdn__gr458141120250624121825jpeg.jpeg
"Apartamento en venta en lisboa, bogotá",,,123 m²,,3.0,,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Vigilancia; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-lisboa-bogota/192874671,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c87638d169e_infocdn__gr1011251920250915025817jpeg.jpeg
"Apartamento en venta en lisboa, bogotá",,,123 m²,,3.0,,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Vigilancia; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-lisboa-bogota/192874671,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c87638d169e_infocdn__gr1011251920250915025817jpeg.jpeg
"Apartamento en venta en puente largo, bogotá",,,105 m²,,3.0,,,Apartamento,VENTA,Vigilancia; Parqueadero; Depósito; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-puente-largo-bogota/192869775,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c71ff196225_infocdn__gr188546320250913065726jpg.jpg
"Apartamento en venta en puente largo, bogotá",,,105 m²,,3.0,,,Apartamento,VENTA,Vigilancia; Parqueadero; Depósito; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-puente-largo-bogota/192869775,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c71ff196225_infocdn__gr188546320250913065726jpg.jpg
"Apartamento en venta en el batán, bogotá",$840.000,,3 m²,4,3.0,2,5,Apartamento,VENTA,Vigilancia; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-batan-bogota/192892706,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd8230458e8_infocdn__kxotg9sohia5ulszkbhf5i92fdjhagiymt0sdzerpng.png
"Apartamento en venta en el batán, bogotá",$840.000,,3 m²,4,3.0,2,5,Apartamento,VENTA,Vigilancia; Parqueadero; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-batan-bogota/192892706,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd8230458e8_infocdn__kxotg9sohia5ulszkbhf5i92fdjhagiymt0sdzerpng.png
"Apartamento en venta en bella suiza, bogotá",,,112 m²,3,3.0,2,,Apartamento,VENTA,Balcón; Parqueadero; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-bella-suiza-bogota/192884161,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc96a36c696_infocdn__56805-1-1758236030jpg.jpg
"Apartamento en venta en bella suiza, bogotá",,,112 m²,3,3.0,2,,Apartamento,VENTA,Balcón; Parqueadero; Estudio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-bella-suiza-bogota/192884161,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc96a36c696_infocdn__56805-1-1758236030jpg.jpg
"Apartamento en venta en la calleja, bogotá",,,122 m²,,4.0,9,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Parqueadero; Closet; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192889067,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc4447b2e9b_infocdn__53351-1-1734405470jpg.jpg
"Apartamento en venta en la calleja, bogotá",,,122 m²,,4.0,9,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Parqueadero; Closet; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192889067,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cc4447b2e9b_infocdn__53351-1-1734405470jpg.jpg
"Apartamento en venta en la calleja, bogotá",,,98 m²,,2.0,2,,Apartamento,VENTA,Gimnasio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192889072,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd636c47dab_infocdn__48518-8-103158572jpg.jpg
"Apartamento en venta en la calleja, bogotá",,,98 m²,,2.0,2,,Apartamento,VENTA,Gimnasio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192889072,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd636c47dab_infocdn__48518-8-103158572jpg.jpg
