address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing,price_per_m2,total_price_per_m2,admin_per_m2
"Apartamento en venta en usaquen, bogotá",VENTA,30.0,True,0.0,0.0,0,1.0,0,True,False,True,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 30.0, ""price_per_m2"": 7833333.33, ""total_area"": 30.0, ""total_price_per_m2"": 7833333.33, ""admin_per_m2"": 0.0}",7833333.33,7833333.33,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Casa en venta en gratamira, bogotá",VENTA,73.0,False,0.0,0.0,3,3.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 73.0, ""price_per_m2"": 5547945.21, ""total_area"": 73.0, ""total_price_per_m2"": 5547945.21, ""admin_per_m2"": 0.0}",5547945.21,5547945.21,0.0
"Casa en venta en gratamira, bogotá",VENTA,73.0,False,0.0,0.0,3,3.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 73.0, ""price_per_m2"": 5547945.21, ""total_area"": 73.0, ""total_price_per_m2"": 5547945.21, ""admin_per_m2"": 0.0}",5547945.21,5547945.21,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Casa en venta en alameda, bogotá",VENTA,107.0,False,0.0,0.0,0,3.0,2,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 107.0, ""price_per_m2"": 4953271.03, ""total_area"": 107.0, ""total_price_per_m2"": 4953271.03, ""admin_per_m2"": 0.0}",4953271.03,4953271.03,0.0
"Casa en venta en alameda, bogotá",VENTA,107.0,False,0.0,0.0,0,3.0,2,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 107.0, ""price_per_m2"": 4953271.03, ""total_area"": 107.0, ""total_price_per_m2"": 4953271.03, ""admin_per_m2"": 0.0}",4953271.03,4953271.03,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Edificio en venta en simon bolivar, bogotá",VENTA,200.0,False,0.0,0.0,0,4.0,0,False,False,True,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 200.0, ""price_per_m2"": 4250000.0, ""total_area"": 200.0, ""total_price_per_m2"": 4250000.0, ""admin_per_m2"": 0.0}",4250000.0,4250000.0,0.0
"Edificio en venta en simon bolivar, bogotá",VENTA,200.0,False,0.0,0.0,0,4.0,0,False,False,True,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 200.0, ""price_per_m2"": 4250000.0, ""total_area"": 200.0, ""total_price_per_m2"": 4250000.0, ""admin_per_m2"": 0.0}",4250000.0,4250000.0,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en bogotá, d.c., bogotá",VENTA,60.0,True,0.0,0.0,0,1.0,0,True,False,False,0,0,0.0,10,I,False,4,4,5,0,,,,"{""area"": 60.0, ""price_per_m2"": 8333333.33, ""total_area"": 60.0, ""total_price_per_m2"": 8333333.33, ""admin_per_m2"": 0.0}",8333333.33,8333333.33,0.0
"Apartamento en venta en bogotá, d.c., bogotá",VENTA,60.0,True,0.0,0.0,0,1.0,0,True,False,False,0,0,0.0,10,I,False,4,4,5,0,,,,"{""area"": 60.0, ""price_per_m2"": 8333333.33, ""total_area"": 60.0, ""total_price_per_m2"": 8333333.33, ""admin_per_m2"": 0.0}",8333333.33,8333333.33,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
