title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images
"Apartamento en venta en fontibon, bogotá",,,26 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Balcón; Piscina; Gimnasio; Parqueadero,,https://www.fincaraiz.com.co/apartamento-en-venta-en-fontibon-bogota/192894549,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cde0fa16320_infocdn__bf0jzdpmwggwmwittf8djapdl7rmhc75rvi9ai6ljpg.jpg
"Apartamento en venta en fontibon, bogotá",,,26 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Balcón; Piscina; Gimnasio; Parqueadero,,https://www.fincaraiz.com.co/apartamento-en-venta-en-fontibon-bogota/192894549,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cde0fa16320_infocdn__bf0jzdpmwggwmwittf8djapdl7rmhc75rvi9ai6ljpg.jpg
"Apartamento en venta en el redil, bogotá",,,35 m²,,1.0,,,Apartamento,VENTA,Ascensor; Gimnasio; Parqueadero; Closet; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-redil-bogota/192894596,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cde5b55a80d_infocdn__jpr9dbvi6emqzwazs5vljloljth00ogcaqt88ccbjpg.jpg
"Apartamento en venta en el redil, bogotá",,,35 m²,,1.0,,,Apartamento,VENTA,Ascensor; Gimnasio; Parqueadero; Closet; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-redil-bogota/192894596,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cde5b55a80d_infocdn__jpr9dbvi6emqzwazs5vljloljth00ogcaqt88ccbjpg.jpg
"Apartamento en venta en balmoral, bogotá",,,5 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Piscina; Vigilancia; Closet,,https://www.fincaraiz.com.co/apartamento-en-venta-en-balmoral-bogota/192892412,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd74dab27d4_infocdn__c5qipdrivkwskrm47izrdxqgxclmja6ule9nutvijpg.jpg
"Apartamento en venta en balmoral, bogotá",,,5 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Piscina; Vigilancia; Closet,,https://www.fincaraiz.com.co/apartamento-en-venta-en-balmoral-bogota/192892412,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cd74dab27d4_infocdn__c5qipdrivkwskrm47izrdxqgxclmja6ule9nutvijpg.jpg
"Apartamento en venta en engativá, bogotá",,,66 m²,,1.0,,,Apartamento,VENTA,Terraza,3144488861,https://www.fincaraiz.com.co/apartamento-en-venta-en-engativa-bogota/192872143,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c82b29479d5_infocdn__syncdk8j1qoy4wikpuopstwfyps6kh7ambxsjkb7jpg.jpg
"Apartamento en venta en engativá, bogotá",,,66 m²,,1.0,,,Apartamento,VENTA,Terraza,3144488861,https://www.fincaraiz.com.co/apartamento-en-venta-en-engativa-bogota/192872143,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c82b29479d5_infocdn__syncdk8j1qoy4wikpuopstwfyps6kh7ambxsjkb7jpg.jpg
"Apartamento en venta en ricaurte, bogotá",,,41 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Parqueadero; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-ricaurte-bogota/192882070,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ca2fae7658f_infocdn__4cvz4leey43tkiqqiudkak8dwnznwj2cs4d1ikjajpg.jpg
"Apartamento en venta en ricaurte, bogotá",,,41 m²,2,1.0,,,Apartamento,VENTA,Ascensor; Balcón; Gimnasio; Parqueadero; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-ricaurte-bogota/192882070,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ca2fae7658f_infocdn__4cvz4leey43tkiqqiudkak8dwnznwj2cs4d1ikjajpg.jpg
"Apartamento en venta en san cristobal norte, bogotá",,,32 m²,,1.0,,,Apartamento,VENTA,Ascensor; Gimnasio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-san-cristobal-norte-bogota/192873246,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c84ec56fe7f_infocdn__wtnvwmm0epgnwgsb8s3ss0r4nx4sxbllltfty9vejpg.jpg
"Apartamento en venta en san cristobal norte, bogotá",,,32 m²,,1.0,,,Apartamento,VENTA,Ascensor; Gimnasio; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-san-cristobal-norte-bogota/192873246,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c84ec56fe7f_infocdn__wtnvwmm0epgnwgsb8s3ss0r4nx4sxbllltfty9vejpg.jpg
